Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike rate,4 Wkts,5 Wkts
SM Curran,1,1,3.4,0,10,5,05-Oct,2,2.72,4.4,0,1
BA Stokes,1,1,4,0,19,2,Feb-19,9.5,4.75,12,0,0
MA Wood,1,1,4,0,23,2,Feb-23,11.5,5.75,12,0,0
CR Woakes,1,1,4,0,24,1,Jan-24,24,6,24,0,0
AU Rashid,1,1,4,0,32,0,-,-,8,-,0,0
