Player,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls faced,Strike rate,100s,50s,0's,4's,6's
LS Livingstone,1,1,1,29,29*,-,21,138.09,0,0,0,3,0
AD Hales,1,1,0,19,19,19,20,95,0,0,0,0,1
JC Buttler,1,1,0,18,18,18,18,100,0,0,0,3,0
DJ Malan,1,1,0,18,18,18,30,60,0,0,0,0,0
MM Ali,1,1,1,8,8*,-,10,80,0,0,0,0,0
HC Brook,1,1,0,7,7,7,6,116.66,0,0,0,0,0
BA Stokes,1,1,0,2,2,2,4,50,0,0,0,0,0
