web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 wkts,5 wkts
"1721716639-16","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","MJ Swepson","2020-2022","7","7","21.0","0","167","9","3/12","18.55","7.95","14.0","0","0"
"1721716639-17","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","RP Meredith","2021-2021","5","5","18.5","0","188","8","3/48","23.50","9.98","14.1","0","0"
"1721716639-18","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","DR Sams","2020-2022","10","10","30.0","0","305","7","2/33","43.57","10.16","25.7","0","0"
"1721716639-19","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","SH Johnson","2023-2024","5","5","17.3","0","160","6","2/33","26.66","9.14","17.5","0","0"
"1721716639-20","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","BJ Dwarshuis","2022-2023","3","3","11.0","0","112","5","3/40","22.40","10.18","13.2","0","0"
"1721716639-21","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","C Green","2022-2022","8","7","20.0","0","178","5","2/16","35.60","8.90","24.0","0","0"
"1721716639-22","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","AM Hardie","2023-2024","7","6","19.0","1","175","4","1/20","43.75","9.21","28.5","0","0"
"1721716639-23","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","MC Henriques","2020-2021","13","3","6.0","0","36","3","3/22","12.00","6.00","12.0","0","0"
"1721716639-24","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","XC Bartlett","2024-2024","1","1","4.0","0","37","2","2/37","18.50","9.25","12.0","0","0"
"1721716639-25","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=bowling","DT Christian","2021-2021","7","5","11.0","0","81","2","2/17","40.50","7.36","33.0","0","0"
