Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 WKts,5 Wkts
Imran Tahir,1,1,3.5,0,24,5,May-24,4.8,6.26,4.6,0,1
AL Phehlukwayo,1,1,3,0,19,3,Mar-19,6.33,6.33,6,0,0
CH Morris,1,1,3,1,10,2,02-Oct,5,3.33,9,0,0
WD Parnell,1,1,3,0,40,0,-,-,13.33,-,0,0
D Paterson,1,1,2,0,13,0,-,-,6.5,-,0,0
