web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
"1721716413-16","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","C Green","2022-2022","8","8","0","139","61","17.37","80","173.75","0","2","0","17","8"
"1721716413-17","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","PJ Cummins","2019-2024","37","16","8","123","28","15.37","96","128.12","0","0","2","9","6"
"1721716413-18","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","AT Carey","2019-2021","19","13","1","108","27","9.00","114","94.73","0","0","2","9","3"
"1721716413-19","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","DR Sams","2020-2022","10","7","3","106","41","26.50","62","170.96","0","0","0","8","6"
"1721716413-20","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","DT Christian","2021-2021","7","7","3","91","39","22.75","65","140.00","0","0","0","5","6"
"1721716413-21","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","MA Starc","2019-2024","42","15","9","86","14","14.33","82","104.87","0","0","0","4","2"
"1721716413-22","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","AJ Turner","2019-2023","14","10","5","84","24","16.80","105","80.00","0","0","0","3","2"
"1721716413-23","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","AM Hardie","2023-2024","7","5","0","69","23","13.80","61","113.11","0","0","0","10","1"
"1721716413-24","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","DJM Short","2020-2020","3","3","0","50","34","16.66","50","100.00","0","0","0","5","0"
"1721716413-25","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=2;template=results;type=batting","A Zampa","2019-2024","65","14","5","40","13*","4.44","46","86.95","0","0","3","4","0"
