web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
"1721717677-16","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","AL Phehlukwayo","2019-2024","21","15","3","101","22","8.41","92","109.78","0","0","4","6","5"
"1721717677-17","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","PWA Mulder","2021-2024","8","6","1","96","36","19.20","84","114.28","0","0","1","7","3"
"1721717677-18","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","KA Maharaj","2021-2024","35","13","6","92","41","13.14","98","93.87","0","0","2","6","5"
"1721717677-19","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","M Jansen","2022-2024","13","8","2","64","21*","10.66","64","100.00","0","0","1","5","2"
"1721717677-20","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","BC Fortuin","2019-2024","20","13","5","63","17*","7.87","61","103.27","0","0","3","9","0"
"1721717677-21","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","MP Breetzke","2023-2024","6","6","0","61","19","10.16","53","115.09","0","0","0","7","1"
"1721717677-22","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","D Ferreira","2023-2023","2","2","0","60","48","30.00","32","187.50","0","0","0","1","6"
"1721717677-23","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","WD Parnell","2022-2023","16","10","4","60","24","10.00","84","71.42","0","0","1","3","1"
"1721717677-24","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","JT Smuts","2020-2021","5","5","0","48","20","9.60","51","94.11","0","0","0","4","1"
"1721717677-25","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","RD Rickelton","2024-2024","3","3","0","43","19","14.33","38","113.15","0","0","0","5","0"
"1721717677-26","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","SSB Magala","2021-2023","6","3","2","34","18*","34.00","18","188.88","0","0","0","1","4"
"1721717677-27","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","L Ngidi","2020-2024","35","10","6","32","13*","8.00","41","78.04","0","0","2","4","0"
"1721717677-28","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","G Coetzee","2023-2024","6","5","0","25","13","5.00","29","86.20","0","0","2","1","1"
"1721717677-29","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","A Nortje","2019-2024","42","12","6","17","4*","2.83","35","48.57","0","0","2","1","0"
"1721717677-30","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","PE Kruger","2024-2024","1","1","1","16","16*","-","13","123.07","0","0","0","1","1"
"1721717677-31","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","WJ Lubbe","2021-2021","2","2","0","16","12","8.00","10","160.00","0","0","0","4","0"
"1721717677-32","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","N Peter","2024-2024","2","1","1","10","10*","-","7","142.85","0","0","0","1","0"
"1721717677-33","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","T Shamsi","2019-2024","56","11","7","10","4*","2.50","22","45.45","0","0","4","0","0"
"1721717677-34","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","L Sipamla","2020-2021","4","1","1","8","8*","-","10","80.00","0","0","0","1","0"
"1721717677-35","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","LB Williams","2021-2023","11","5","3","6","2*","3.00","14","42.85","0","0","1","0","0"
"1721717677-36","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","D Brevis","2023-2023","2","2","0","5","5","2.50","7","71.42","0","0","1","0","0"
"1721717677-37","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","DW Steyn","2020-2020","3","2","1","5","5*","5.00","3","166.66","0","0","1","1","0"
"1721717677-38","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","GJ Snyman","2021-2021","1","1","0","2","2","2.00","6","33.33","0","0","0","0","0"
"1721717677-39","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","N Burger","2023-2023","1","1","0","1","1","1.00","3","33.33","0","0","0","0","0"
"1721717677-40","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","OEG Baartman","2024-2024","6","1","0","0","0","0.00","1","0.00","0","0","1","0","0"
"1721717677-41","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","BE Hendricks","2019-2021","9","2","1","0","0*","0.00","2","0.00","0","0","1","0","0"
"1721717677-42","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","CJ Dala","2021-2021","1","-","-","-","-","-","-","-","-","-","-","-","-"
"1721717677-43","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=3;template=results;type=batting","GA Stuurman","2021-2021","1","-","-","-","-","-","-","-","-","-","-","-","-"
