Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Fareed Ahmad,1,1,2,0,23,1,Jan-23,23,11.5,12,0,0
Fazalhaq Farooqi,1,1,4,0,24,1,Jan-24,24,6,24,0,0
Mohammad Nabi,1,1,3,0,16,1,Jan-16,16,5.33,18,0,0
Mujeeb Ur Rahman,1,1,4,0,22,1,Jan-22,22,5.5,24,0,0
Rashid Khan,1,1,4,0,17,1,Jan-17,17,4.25,24,0,0
Azmatullah Omarzai,1,1,1.1,0,11,0,-,-,9.42,-,0,0
