Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
M Jansen,1,1,3,0,16,3,Mar-16,5.33,5.33,6,0,0
T Shamsi,1,1,1.5,0,6,3,03-Jun,2,3.27,3.6,0,0
A Nortje,1,1,3,0,7,2,02-Jul,3.5,2.33,9,0,0
K Rabada,1,1,3,1,14,2,Feb-14,7,4.66,9,0,0
KA Maharaj,1,1,1,0,6,0,-,-,6,-,0,0
