Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Rashid Khan,2021-2024,2,2,8,0,44,5,Apr-17,8.8,5.5,9.6,1,0
Fazalhaq Farooqi,2024-2024,1,1,3.2,0,17,4,Apr-17,4.25,5.1,5,1,0
Mohammad Nabi,2021-2024,2,2,8,0,42,2,Feb-16,21,5.25,24,0,0
Mujeeb Ur Rahman,2021-2021,1,1,4,0,31,1,Jan-31,31,7.75,24,0,0
Gulbadin Naib,2021-2024,2,1,1.1,0,9,0,-,-,7.71,-,0,0
Hamid Hassan,2021-2021,1,1,3,0,14,0,-,-,4.66,-,0,0
Naveen-ul-Haq,2021-2024,2,2,5,0,26,0,-,-,5.2,-,0,0
Noor Ahmad,2024-2024,1,1,1,0,10,0,-,-,10,-,0,0
