web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
"1721717286-13","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","BM Duckett","2022-2023","11","11","2","306","70*","34.00","210","145.71","0","1","0","39","2"
"1721717286-14","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","SM Curran","2019-2024","51","30","9","272","50","12.95","230","118.26","0","1","0","16","12"
"1721717286-15","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","CJ Jordan","2019-2024","56","34","15","271","36","14.26","196","138.26","0","0","1","19","14"
"1721717286-16","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","WG Jacks","2022-2024","16","15","0","253","40","16.86","179","141.34","0","0","1","30","10"
"1721717286-17","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","JM Vince","2019-2022","9","9","0","233","59","25.88","169","137.86","0","2","0","24","8"
"1721717286-18","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","SW Billings","2019-2022","16","15","5","164","41","16.40","147","111.56","0","0","0","11","5"
"1721717286-19","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","DJ Willey","2021-2022","15","7","4","60","33*","20.00","47","127.65","0","0","1","7","3"
"1721717286-20","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","AU Rashid","2019-2024","77","20","8","56","22","4.66","66","84.84","0","0","3","3","0"
"1721717286-21","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","CR Woakes","2021-2023","25","10","4","56","13*","9.33","54","103.70","0","0","1","5","2"
"1721717286-22","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmax2=23+Jul+2024;spanmin1=23+Jul+2019;spanmin2=23+Jul+2019;spanval1=span;spanval2=span;team=1;template=results;type=batting","TK Curran","2019-2021","19","9","4","54","14*","10.80","48","112.50","0","0","0","1","3"
