Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
Fazalhaq Farooqi,1,1,2,0,11,1,01-Nov,11,5.5,12,0,0
Azmatullah Omarzai,1,1,1.5,0,18,0,-,-,9.81,-,0,0
Gulbadin Naib,1,1,1,0,8,0,-,-,8,-,0,0
Naveen-ul-Haq,1,1,3,0,15,0,-,-,5,-,0,0
Rashid Khan,1,1,1,0,8,0,-,-,8,-,0,0
