Player,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike rate,100s,50s,0's,4's,6's
HM Amla,1,1,0,62,62,62,43,144.18,0,1,0,9,1
F du Plessis,1,1,0,36,36,36,25,144,0,0,0,1,3
JP Duminy,1,1,0,29,29,29,16,181.25,0,0,0,2,2
AB de Villiers,1,1,0,26,26,26,17,152.94,0,0,0,3,1
CH Morris,1,1,1,9,9*,-,7,128.57,0,0,0,0,1
F Behardien,1,1,0,8,8,8,7,114.28,0,0,0,0,1
WD Parnell,1,1,1,4,4*,-,1,400,0,0,0,1,0
Q de Kock,1,1,0,0,0,0,4,0,0,0,1,0,0
