Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike rtae,4 Wkts,5 Wkts
A Zampa,2022-2024,2,2,8,0,50,4,Feb-22,12.5,6.25,12,0,0
PJ Cummins,2022-2024,2,2,8,0,50,3,Mar-28,16.66,6.25,16,0,0
JR Hazlewood,2022-2024,2,2,8,0,72,2,Feb-33,36,9,24,0,0
KW Richardson,2022-2022,1,1,4,0,48,1,Jan-48,48,12,24,0,0
MP Stoinis,2022-2024,2,2,4,0,45,1,Jan-19,45,11.25,24,0,0
AC Agar,2024-2024,1,1,4,1,17,0,-,-,4.25,-,0,0
C Green,2022-2022,1,1,2,0,13,0,-,-,6.5,-,0,0
GJ Maxwell,2022-2024,2,1,2,0,12,0,-,-,6,-,0,0
