web-scraper-order,web-scraper-start-url,Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
"1721718705-16","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","CH Gayle","2021-2021","21","21","3","272","67","15.11","242","112.39","0","1","1","20","19"
"1721718705-17","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","SSJ Brooks","2021-2022","13","12","1","218","56*","19.81","212","102.83","0","1","2","15","11"
"1721718705-18","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","FA Allen","2019-2024","28","19","8","217","34","19.72","154","140.90","0","0","3","10","19"
"1721718705-19","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","ADS Fletcher","2020-2024","15","14","3","215","35","19.54","166","129.51","0","0","1","13","16"
"1721718705-20","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","AJ Hosein","2021-2024","57","24","11","198","44*","15.23","176","112.50","0","0","3","14","9"
"1721718705-21","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","OF Smith","2021-2023","25","19","7","187","27*","15.58","133","140.60","0","0","2","12","12"
"1721718705-22","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","DJ Bravo","2020-2021","25","15","5","113","47*","11.30","110","102.72","0","0","1","6","6"
"1721718705-23","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","AS Joseph","2022-2024","29","10","7","72","14*","24.00","71","101.40","0","0","1","4","4"
"1721718705-24","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","DM Bravo","2021-2022","6","4","2","65","34*","32.50","62","104.83","0","0","0","4","1"
"1721718705-25","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","KMA Paul","2019-2022","10","7","3","63","26*","15.75","70","90.00","0","0","2","2","4"
"1721718705-26","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","D Ramdin","2019-2019","3","3","2","55","24*","55.00","53","103.77","0","0","0","3","1"
"1721718705-27","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","OC McCoy","2021-2024","35","8","3","52","23*","10.40","45","115.55","0","0","2","5","3"
"1721718705-28","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","DC Thomas","2021-2022","9","8","2","51","31*","8.50","54","94.44","0","0","0","4","2"
"1721718705-29","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","RA Reifer","2022-2023","3","2","0","46","27","23.00","41","112.19","0","0","0","1","2"
"1721718705-30","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","HR Walsh","2019-2024","31","10","6","36","12*","9.00","47","76.59","0","0","2","2","2"
"1721718705-31","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","CR Brathwaite","2019-2019","3","2","0","19","10","9.50","31","61.29","0","0","0","0","1"
"1721718705-32","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","DC Drakes","2021-2022","10","5","0","15","5","3.00","19","78.94","0","0","1","3","0"
"1721718705-33","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","KOK Williams","2019-2020","8","2","2","13","13*","-","7","185.71","0","0","0","1","1"
"1721718705-34","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","MW Forde","2023-2024","2","2","0","8","5","4.00","12","66.66","0","0","0","0","0"
"1721718705-35","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","SP Narine","2019-2019","3","3","0","8","4","2.66","22","36.36","0","0","0","0","0"
"1721718705-36","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","SS Cottrell","2019-2023","32","5","4","7","4*","7.00","12","58.33","0","0","0","1","0"
"1721718705-37","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","G Motie","2021-2024","15","5","4","7","4*","7.00","12","58.33","0","0","0","1","0"
"1721718705-38","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","K Pierre","2019-2020","7","3","2","7","6","7.00","14","50.00","0","0","0","0","0"
"1721718705-39","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","A Athanaze","2024-2024","1","1","1","6","6*","-","7","85.71","0","0","0","0","0"
"1721718705-40","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","Y Cariah","2022-2022","2","2","2","3","2*","-","4","75.00","0","0","0","0","0"
"1721718705-41","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","R Rampaul","2021-2021","4","1","0","3","3","3.00","8","37.50","0","0","0","0","0"
"1721718705-42","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","K Sinclair","2021-2021","6","2","1","3","3","3.00","9","33.33","0","0","0","0","0"
"1721718705-43","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","FH Edwards","2021-2021","6","2","2","1","1*","-","5","20.00","0","0","0","0","0"
"1721718705-44","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","O Thomas","2019-2023","14","4","2","1","1","0.50","7","14.28","0","0","1","0","0"
"1721718705-45","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","JD Campbell","2019-2019","1","1","0","0","0","0.00","2","0.00","0","0","1","0","0"
"1721718705-46","https://stats.espncricinfo.com/ci/engine/stats/index.html?class=3;home_or_away=1;home_or_away=2;home_or_away=3;result=1;result=2;result=3;result=5;spanmax1=23+Jul+2024;spanmin1=23+Jul+2019;spanval1=span;team=4;template=results;type=batting","S Joseph","2024-2024","3","1","1","0","0*","-","0","-","0","0","0","0","0"
