Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
TA Boult,1,1,4,0,8,2,02-Aug,4,2,12,0,0
C de Grandhomme,1,1,3,0,22,2,Feb-22,11,7.33,9,0,0
BM Wheeler,1,1,4,0,49,1,Jan-49,49,12.25,24,0,0
C Munro,1,1,1,0,11,0,-,-,11,-,0,0
MJ Santner,1,1,4,0,40,0,-,-,10,-,0,0
TG Southee,1,1,4,0,47,0,-,-,11.75,-,0,0
